PubMed ID,Title,Authors,Affiliation,Journal,Date,Abstract
40627855,Usefulness of Mixed Reality in Surgical Treatment: Delphi Study.,"Renato Magalhães, Ana Carolina Lima, António Marques, Javier Pereira, Lúcio Lara Santos","Experimental Pathology and Therapeutics Group, Portuguese Oncology Institute of Porto (IPO Porto)/Porto Comprehensive Cancer Centre (Porto.CCC) & RISE@CI-IPOP (Health Research Network), Porto, Portugal.",Journal of medical Internet research,2025,"Mixed reality (MR) combines real and virtual elements and has shown promise in diverse fields, including surgical procedures. MR headsets may support surgical navigation, planning, and training. It is crucial to determine whether medical professionals consider this technology indispensable. This study uses the Delphi method, facilitated by the Welphi web-based platform, to assess the utility of MR in surgical settings and analyzes the results of the first round using a systematic approach modeled on the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) framework."
40627846,EML4-ALK rearrangement creates a distinctive myeloid cell-dominant immunosuppressive microenvironment in lung cancer.,"Kosuke Arai, Yukari Nishito, Hideaki Mizuno, Noriko Motoi, Nobuyoshi Hiraoka, Masanori Fuse, Yasuhito Arai, Tatsuhiro Shibata, Yukiko Sonobe, Yoko Kayukawa, Toru Maruyama, Hironori Fukuda, Yukihiro Mizoguchi, Yukiko Aikawa, Yukihiro Yoshida, Shun-Ichi Watanabe, Hiromi Sakamoto, Makiko Yamashita, Shigehisa Kitano, Yuki Nagata, Risa Mitsumori, Kouichi Ozaki, Shumpei Niida, Yae Kanai, Akiyoshi Hirayama, Tomoyoshi Soga, Teruhiko Yoshida, Kazuki Yasuda, Atsushi Ochiai, Hiroyuki Tsunoda, Kazunori Aoki","Chugai Pharmaceutical Co., Ltd., Yokohama, Kanagawa, Japan.; Chugai Pharmaceutical Co., Ltd., Yokohama City, Japan.; Chugai Pharmaceutical Co., Ltd., Kamakura, Kanagawa, Japan.; Chugai Pharmaceutical Co. Ltd., Yokohama, Kanagawa, Japan.",Cancer immunology research,2025,"Tyrosine kinase inhibitors (TKIs) are initially efficacious against anaplastic lymphoma kinase (ALK) fusion gene-positive lung adenocarcinoma (ALK+ LUAD), but acquired resistance inevitably occurs. Therefore, alternative treatment strategies are needed for TKI-resistant cases. Although the use of immune checkpoint inhibitors (ICIs) has improved the prognosis of patients with lung cancer, patients with ALK+ LUAD exhibit little or no response to immunotherapy and the underlying resistance mechanisms remain unknown. Here, we explored the immunological status of the tumor microenvironment (TME) in ALK+ LUAD tissues. Tumor-infiltrating leukocyte analysis revealed reduced numbers of effector T cells and increased myeloid-derived suppressor cells (MDSCs) relative to ALK- LUAD cases, indicating that ALK+ LUAD has a myeloid cell-dominant immunosuppressive TME. Single-cell RNA-sequencing analysis identified a subset of macrophages that expressed most T cell-attractant chemokines (CXCL9, CXCL10, and CXCL11), and the macrophages were inactivated in ALK+ LUAD. In contrast, ALK+ LUAD expressed high levels of MDSC-attractant chemokines (CXCL1 and CXCL8). In addition, ALK+ LUAD showed higher levels of IL-6, an MDSC-inducing cytokine, than ALK- LUAD. An IL-6R inhibitor transformed the TME in a murine ALK+ LUAD model, shifting it from an immunosuppressive to a T cell-dominant status. Although ICI monotherapy lacked antitumor effects, a combination of ICI and the IL-6R inhibitor had significant antitumor effects in mice. Our findings illustrate the molecular basis of fusion gene-mediated immunosuppressive TMEs, providing a rationale for a novel combination immunotherapy for ALK+ LUAD."
40627836,Exploring IDH1 and IDH2 Mutations in Paediatric Medulloblastoma.,"Motaz Fadul, Saleh Baeesa, Alaa Alkhotani, Amany A Fathaddin, Ahmed I Lary, Bassam Addass, Taghreed Alsinani, Ahmed Bamaga, Ahmad Albeshri, Mohammed M Karami, Mohammed A Abutalib, Maher Kurdi","Department of Neurosciences, King Faisal Specialist Hospital and Research Center, Prince Saud Al Faisal Street, Jeddah, Saudi Arabia.",Folia biologica,2025,"Medulloblastoma (MB) in children is associated with distinct molecular subgroups, reflecting substantial biological heterogeneity. The presence of isocitrate dehydrogenase 1 (IDH1) and IDH2 mutations in paediatric MB has been rarely reported and not routinely investigated. Our study included 23 samples from paediatric patients diagnosed with MB. Hotspot alterations at codons IDH1 R132 and IDH2 R172 were examined using Sanger sequencing following polymerase chain reaction (PCR). The mean age of the patients was 10 years (SD: 4.25), comprising 17 males and 6 females. All cases exhibited classical histological features of MB. β-Catenin expression was observed in four cases (17.4 %), while 19 cases (82.6 %) showed no expression. No statistically significant differences in progression-free survival (PFS) were found between MBs with positive or negative β-catenin expression (P = 0.6). Radiotherapy alone was administered to four patients (17.4 %), while 19 patients (82.6 %) received combined radiotherapy and chemotherapy. The median PFS was 383 days (1 year and 18 days). IDH1 R132 or IDH2 R172 hotspot mutations were not detected in any of the samples. The absence of IDH1 or IDH2 mutations in paediatric MB may be attributed to differences in mutational profiles and cellular origins in childhood MB, despite its histomolecular similarities with adult MB."
40627828,Telomere Dysfunction in Renal Tubular Epithelial Cells Leads to Kidney Fibrosis.,"Sarita Saraswati, Paula Martínez, Rosa Serrano, Diego Mejías, Osvaldo Graña-Castro, Ruth Álvarez Díaz, Juana María Flores, Maria A Blasco","Confocal Microscopy Unit, Biotechnology Program, Spanish National Cancer Centre (CNIO), Melchor Fernández Almagro 3, Madrid, E-28029, Spain.",Journal of the American Society of Nephrology : JASN,2025,"Renal tubular epithelial cells are the critical mediators of kidney fibrogenesis. Telomere dysfunction has been associated with kidney injury and fibrosis. However, the role of telomere dysfunction specifically in renal tubular epithelial cells in the onset and progression of kidney fibrosis remains poorly understood. TRF1 is a critical component of the telomeric protective complex known as shelterin and its deficiency results in telomere dysfunction."
40627823,Assessing the Data Quality Dimensions of Surgical Oncology Cohorts in the <i>All of Us</i> Research Program.,"Matthew Spotnitz, John Giannini, Emily Clark, Yechiam Ostchega, Tamara R Litwin, Stephanie L Goff, Lew Berman","GAP Solutions, Inc, Herndon, VA.",JCO clinical cancer informatics,2025,"Cancer is a leading cause of morbidity and mortality in the United States. Mapping electronic health record (EHR) data to the Observational Medical Outcomes Partnership Common Data Model (OMOP CDM) may standardize data structure and allow for multiple database oncology studies. However, the number of oncology studies produced with the OMOP CDM has been low. To investigate the discrepancy between the public health impact of cancer and the output of OMOP CDM clinical cancer studies, we evaluated (EHR) data quality of five surgical oncology cohorts in the <i>All of Us</i> Research Program: mastectomy, prostatectomy, colectomy, melanoma excision, and lung cancer resection."
40627820,Geographical Differences in the Management and Outcomes of Patients With Advanced Urothelial Carcinoma Treated With Pembrolizumab After Progression on Platinum-Based Chemotherapy: Results From ARON-2 Study.,"Mimma Rizzo, Andrey Soares, Shilpa Gupta, Fabio Calabrò, Hideki Takeshita, Maria Teresa Bourlon, Se Hoon Park, Patrizia Giannatempo, Zin War Myint, Thomas Büttner, Enrique Grande, Ondrej Fiala, Daniele Santini, Aristotelis Bamias, Roubini Zakopoulou, Sebastiano Buti, Ravindran Kanesvaran, Pasquale Rescigno, Javier Molina-Cerrillo, Ilana Epstein, Fernando Sabino Marques Monteiro, Francesco Massari, Camillo Porta, Joaquin Bellmunt, Matteo Santoni","Department of Oncology and Radiotherapeutics, Faculty of Medicine, University Hospital and Charles University, Pilsen, Czech Republic.; Department of Medical and Surgical Sciences and Biotechnology, Policlinico Umberto I, University of Rome, Rome, Italy.",JCO global oncology,2025,"Our investigation assessed the impact of geographical disparities in the treatment of patients with advanced urothelial cancer (aUC) included in the international, real-world ARON-2 trial."
40627813,RP1 Combined With Nivolumab in Advanced Anti-PD-1-Failed Melanoma (IGNYTE).,"Michael K Wong, Mohammed M Milhem, Joseph J Sacco, Judith Michels, Gino K In, Eva Muñoz Couselo, Dirk Schadendorf, Georgia M Beasley, Jiaxin Niu, Bartosz Chmielowski, Trisha M Wise-Draper, Tawnya Lynn Bowles, Katy K Tsai, Céleste Lebbé, Caroline Gaudy-Marqueste, Mark R Middleton, Aglaia Skolariki, Adel Samson, Jason A Chesney, Ari M VanderWalde, Yousef Zakharia, Kevin J Harrington, Elizabeth Appleton, Praveen K Bommareddy, Junhong Zhu, Marcus Viana, Jeannie W Hou, Robert S Coffin, Caroline Robert","University of Cincinnati Cancer Center, University of Cincinnati, Cincinnati, OH, USA.; Replimune, Inc., Woburn, MA, USA.",Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2025,"Effective treatment options for melanoma after immune checkpoint blockade failure are limited. RP1 (vusolimogene oderparepvec) is an HSV-1-based oncolytic immunotherapy, here evaluated in combination with nivolumab in anti-PD-1-failed melanoma."
40627761,Prognostic utility of oral neutrophil counts in high-risk periodontitis: A retrospective study.,"Braedan R J Prete, Abdelahhad Barbour, Chunxiang Sun, Howard C Tenenbaum, Michael B Goldberg, Michael Glogauer","Department of Dental Oncology, Maxillofacial and Ocular Prosthetics, Princess Margaret Cancer Centre, Toronto, Ontario, Canada.",Journal of periodontology,2025,Oral polymorphonuclear neutrophil (oPMN) levels are potential biomarkers for differentiating between stages and grades of periodontitis. We compared the diagnostic utility of oPMN levels with bleeding on probing percentage (BOP%) and microbial load in high-risk patients with periodontitis.
40627635,Patient education for older adults with cancer and their caregivers: Protocol for a scoping review.,"Lu Lin, Janet Papadakos, Rouhi Fazelzad, Kristen Haase, Shabbir Alibhai, Fay Bennie, Martine Puts","The Centre for Patient Education, Princess Margaret Cancer Centre, and Dalla Lana School of Public Health, University of Toronto, Toronto, Ontario, Canada.; Department of Supportive Care, Princess Margaret Cancer Centre, University Health Network, and Faculty of Medicine and Institute for Health Policy, Management and Evaluation, University of Toronto, Toronto, Ontario, Canada.; Lawrence Bloomberg Faculty of Nursing, University of Toronto and Department of Supportive Care, Princess Margaret Cancer Centre, University Health Network, Toronto, Ontario, Canada.; Library and Information Services, Princess Margaret Cancer Centre, University Health Network, Toronto, Ontario, Canada.",PloS one,2025,"Treatment decision-making for older adults is complex due to multimorbidity, polypharmacy, and age-related changes such as sensory impairment and cognitive decline. In addition, many older adults have lower health literacy, which impacts their ability to access, understand, and apply health information. Patient education plays a critical role to comprehend a new cancer diagnosis, explore treatment options, and manage care effectively. To be effective, education materials must be specifically tailored to the needs of this population. Despite growing recognition of the importance of geriatric-specific cancer education, no recent review has synthesized the literature on educational interventions or materials developed for this population. This review aims to answer the question: What is known about patient education interventions and materials developed for older adults with cancer and their caregivers and their effectiveness to improve outcomes?. We will follow the Arksey and O'Malley framework, refined by Levac et al., and report according to the PRISMA-ScR checklist. We will search Medline ALL, Embase, Emcare, Cochrane Central, PsycInfo (all via OvidSP), and Scopus (via Elsevier) for studies published from 2000 onward and complete a manual search of the references of included studies. A health sciences librarian conducted the searches. We will include peer-reviewed and relevant grey literature. Stakeholder consultation will be conducted to inform interpretation of findings and identify gaps. Eligible studies will use qualitative or quantitative designs focused on geriatric oncology patient education. Two reviewers will independently screen studies and extract data using Covidence and Excel. Data will be analyzed using descriptive statistics and narrative synthesis. The quality of peer-reviewed studies will be appraised with the Mixed Methods Appraisal Tool (2018) for descriptive purposes only. This scoping review will map existing educational interventions and materials for older adults with cancer, support clinicians in practice, and highlight gaps to inform future research and development."
40627605,Time since last birth and the risk of endometrial cancer: A meta-analysis of observational studies.,"Juan Gu, Yuchen Lai, Huafeng Shou, Liping Wang","Department of nursing, Zhejiang Provincial People's Hospital and People's Hospital of Hangzhou Medical College, No. 158 Shangtang Road, Hangzhou, Zhejiang, China.; Department of Gynecology, Zhejiang Provincial People's Hospital and People's Hospital of Hangzhou Medical College, No. 158 Shangtang Road, Hangzhou, Zhejiang, China.; Center for General Practice Medicine, Zhejiang Provincial People's Hospital and People's Hospital of Hangzhou Medical College, No. 158 Shangtang Road, Hangzhou, Zhejiang, China.",PloS one,2025,"Endometrial cancer, an adenocarcinoma originating from the uterine lining, is the most prevalent cancer of the female genital tract globally.Identifying early risk factors for endometrial cancer is crucial for prevention.Prior research suggests that pregnancy may lower endometrial cancer risk by reducing estrogen exposure.This meta-analysis aims to delve into the existing population-based longitudinal studies to evaluate the association between the time elapsed since the last birth and the risk of endometrial cancer."
